paper_id,source_db,title,authors,journal,year,doi,pmid,study_type,tea_type,material_form,component_group,activity_category,processing_present,extraction_present,microbiome_present,include_status,exclusion_reason,notes
PMID_38056775,PubMed,Biological potential and mechanisms of Tea's bioactive compounds: An Updated review,"Luo Q et al.",Journal of Advanced Research,2024,10.1016/j.jare.2023.12.004,38056775,systematic review,unspecified tea,unspecified material,multiple component groups,other,no,no,yes,include,,Core recent umbrella review; strong seed paper
PMID_40477896,PubMed,Processing Technologies for the Extraction of Value-Added Bioactive Compounds from Tea,"Raghunath S et al.",Food Engineering Reviews,2023,10.1007/s12393-023-09338-2,40477896,systematic review,unspecified tea,tea extract,multiple component groups,other,no,yes,no,include,,Strong C01-oriented processing and extraction review
PMID_38137271,PubMed,Tea Harvesting and Processing Techniques and Its Effect on Phytochemical Profile and Final Quality of Black Tea: A Review,"Aaqil M et al.",Foods,2023,10.3390/foods12244467,38137271,systematic review,black tea,tea leaf,multiple component groups,other,yes,no,no,include,,Processing and phytochemical context for black tea
PMID_39274868,PubMed,Effects of Differently Processed Tea on the Gut Microbiota,"Zhao Z et al.",Molecules,2024,10.3390/molecules29174020,39274868,systematic review,unspecified tea,tea infusion,multiple component groups,gut microbiota modulation,yes,no,yes,include,,Bridge paper between C01 and C06
PMID_39920567,PubMed,Bioavailability of Tea Polyphenols: A Key Factor in Understanding Their Mechanisms of Action In Vivo and Health Effects,"Yang M et al.",Journal of Agricultural and Food Chemistry,2025,10.1021/acs.jafc.4c09205,39920567,systematic review,unspecified tea,purified component,mixed polyphenols,other,no,no,yes,include,,Important for evidence interpretation and mechanism caution
PMID_38938012,PubMed,Tea consumption and risk of all-cause cardiovascular disease and cancer mortality: a meta-analysis of thirty-eight prospective cohort data sets,"Kim Y et al.",Epidemiology and Health,2024,10.4178/epih.e2024056,38938012,meta-analysis,unspecified tea,tea infusion,whole extract,cardiovascular protection,no,no,no,include,,Human evidence anchor paper
PMID_40314930,PubMed,Effects of Tea (Camellia sinensis) or its Bioactive Compounds l-Theanine or l-Theanine plus Caffeine on Cognition Sleep and Mood in Healthy Participants: A Systematic Review and Meta-Analysis of Randomized Controlled Trials,"Payne ER et al.",Nutrition Reviews,2025,10.1093/nutrit/nuaf054,40314930,meta-analysis,unspecified tea,purified component,multiple component groups,neuroprotection,no,no,no,include,,Human RCT evidence anchor for cognition-related outcomes
PMID_38277939,PubMed,Effects of processing technology on tea quality analyzed using high-resolution mass spectrometry-based metabolomics,"Wang J et al.",Food Chemistry,2024,10.1016/j.foodchem.2024.138548,38277939,other,green tea,tea leaf,catechins,other,yes,no,no,maybe,,Processing-composition analytical study; useful for phase-2 context but not a phase-1 core activity paper
PMID_39574401,PubMed,Tea Polyphenols Reduced Obesity by Modulating Gut Microbiota-SCFAs-Barrier and Inflammation in High-Fat Diet-Induced Mice,"Tian B et al.",Molecular Nutrition and Food Research,2024,10.1002/mnfr.202400685,39574401,animal study,unspecified tea,purified component,mixed polyphenols,anti-obesity,no,no,yes,include,,Strong C06 mechanistic primary study
PMID_38745351,PubMed,Gut Microbiota Mediate the Neuroprotective Effect of Oolong Tea Polyphenols in Cognitive Impairment Induced by Circadian Rhythm Disorder,"Song Z et al.",Journal of Agricultural and Food Chemistry,2024,10.1021/acs.jafc.4c01922,38745351,animal study,oolong tea,purified component,mixed polyphenols,neuroprotection,no,no,yes,include,,Good mechanistic graph pilot paper
PMID_39452088,PubMed,Harnessing the Power of Fermented Tea to Improve Gut Microbiota and Combat Obesity Epidemic,"Zhang R et al.",Biology,2024,10.3390/biology13100779,39452088,systematic review,dark/post-fermented tea,fermented beverage,mixed polyphenols,anti-obesity,yes,no,yes,include,,Fermented tea microbiome review for phase-3 extension
PMID_39732435,PubMed,Regular Consumption of Black Tea Kombucha Modulates the Gut Microbiota in Individuals with and without Obesity,"Costa MAC et al.",Journal of Nutrition,2025,10.1016/j.tjnut.2024.12.013,39732435,randomized controlled trial,black tea,fermented beverage,whole extract,gut microbiota modulation,yes,no,yes,include,,Rare human microbiome intervention anchor
