kind,type,count
node,EvidenceRecord,635
node,Paper,401
node,Mechanism,398
node,HostPhenotype,301
node,MicrobiotaFeature,107
node,MicrobialMetabolite,48
node,ProcessingStep,23
node,ExtractionMethod,13
node,UncertaintyFlag,10
node,TeaType,9
node,ComponentGroup,9
node,EvidenceLevel,9
node,ActivityCategory,8
node,MaterialForm,7
node,StudyType,6
node,EffectDirection,5
edge,HAS_UNCERTAINTY_FLAG,1492
edge,HAS_TEA_TYPE,640
edge,HAS_COMPONENT_GROUP,638
edge,HAS_RECORD,635
edge,HAS_MATERIAL_FORM,635
edge,SUPPORTS_ACTIVITY,635
edge,HAS_EFFECT_DIRECTION,635
edge,HAS_EVIDENCE_LEVEL,634
edge,HAS_STUDY_TYPE,630
edge,ACTS_VIA,496
edge,ASSOCIATED_HOST_PHENOTYPE,450
edge,HAS_PROCESSING_STEP,213
edge,HAS_EXTRACTION_METHOD,208
edge,MODULATES_MICROBIOTA,169
edge,LINKS_TO_METABOLITE,85
