priority,task,why,concrete_output,estimated_effort,impact,status
P1,Extraction-quality validation,Main trust gap for automatic KG construction,Validation protocol plus completed 47-record field-level results table,medium,high,completed
P1,Graph query case study,Shows why graph is useful beyond CSV tables,One microbiome/path query table and subgraph figure,medium,high,completed
P1,Uncertainty model formalization,Central title claim needs formal rules,Uncertainty flag and class definition table,low,high,completed
P2,Stage-wise ablation and QC table,Shows each extraction stage contributes,Table comparing rules abstract methods normalized KG stages,low,medium-high,completed
P2,Computational related work expansion,Current related work lacks IE/KG/LLM context,New subsection with 13 verified citations,medium,medium,completed
P2,Data and code availability statement,Submission compliance and reproducibility,Short data/code availability section,low,medium,completed
P2,LLM usage statement,Venue compliance for AI-assisted extraction,Short LLM/API usage disclosure,low,medium,completed
P3,Venue/template conversion,Generic article format is not submission format,Database-oriented v6 manuscript and venue conversion note,medium,medium,completed
P3,Appendix refinement,Keep main text clean while preserving reproducibility,Supplementary Data sections and tabularx appendix tables,low,medium,completed
P3,Minor layout polish,Remove remaining overfull and tune figure placement,Reduced major table issues; remaining warnings need camera-ready polish,low,low,partial
